title	link	snippet	date
Afghanistan earthquake death toll rises | 9 News Australia - YouTube	https://www.youtube.com/watch?v=nSfSwgD6BWY	Oct 8, 2023 ... Afghanistan earthquake death toll has risen to 2000 according to a Taliban government spokesperson. Subscribe and : http://9Soci.al/KM6e50GjSK9 | Get more ...	Oct 8, 2023
Afghanistan earthquake death toll rises to 2445 - YouTube	https://www.youtube.com/watch?v=cy0UejOJoJQ	Oct 8, 2023 ... The death toll from those killed in earthquakes in Afghanistan has increased to 2 445. It's been the deadliest tremors to rock the quake-prone, ...	Oct 8, 2023
Afghanistan earthquake death toll tops more than 2,000, says govt ...	https://www.youtube.com/watch?v=13RGSBxJyzs	Oct 8, 2023 ... The death toll from a series of earthquakes in western Afghanistan rose sharply again Sunday to more than 2000 as rescuers scrabbled for survivors among the ...	Oct 8, 2023
Afghanistan earthquake: At least 2,050 killed in 6.3 magnitude ...	https://www.youtube.com/watch?v=tIzRwXAYcew	Oct 8, 2023 ... Devastating earthquakes, including one of magnitude 6.3, hit Afghanistan Saturday, killing at least 2050 and injuring even more. Hemmed in by mountains, ...	Oct 8, 2023
At least 2,445 killed after Afghanistan earthquake, says Taliban ...	https://www.youtube.com/watch?v=zJiIxAhT4PI	Oct 8, 2023 ... At least 2445 people have died and thousands more injured after a powerful earthquake hit Afghanistan on Saturday, according to the Taliban administration.	Oct 8, 2023
Afghanistan Earthquake Death Toll Above 4000, Hospitals ...	https://www.youtube.com/watch?v=S6Y57UXKDl0	Oct 11, 2023 ... Hospitals in Afghanistan are crumbling under pressure after two deadly earthquakes of magnitude 6.2, jolted Herat, Badghis and Farah provinces last week.	Oct 11, 2023
Afghanistan Earthquake News: Almost 2,000 People Killed In ...	https://www.youtube.com/watch?v=aCVEhWfxtGA	Oct 8, 2023 ... The death toll from a series of earthquakes in Afghanistan's Herat province rose again Sunday to more than 2000 as rescuers searched for survivors among the ...	Oct 8, 2023
Afghanistan earthquake death toll rises over 2,000, to get worse ...	https://www.youtube.com/watch?v=mXgv3QdL1Nc	Oct 10, 2023 ... Survivors of the deadly earthquake in Afghanistan were seen wailing in trouble while others struggled to search for loved ones. The deadly 6.2 magnitude ...	Oct 10, 2023
Afghan Earthquake Survivors Sleep Amid Rubble As Death Toll ...	https://www.youtube.com/watch?v=Gz5o6AdECAI	Oct 9, 2023 ... Afghanistan Earthquake | Afghan Earthquake Survivors Sleep Amid Rubble As Death Toll Rises | N18V The death toll is approaching 3000, according to senior ...	Oct 9, 2023
Knoxville man mourns after more than 2,000 people died after ...	https://www.youtube.com/watch?v=GP1bk7067x4	Oct 11, 2023 ... Knoxville man mourns after more than 2,000 people died after Afghanistan earthquakes ... At least 2,000 Killed as Second Earthquake Hits Afghanistan. On Demand ...	Oct 11, 2023
How to redeem an Apple Gift Card | Apple Support - YouTube	https://m.youtube.com/watch?v=O3LGpPLeWJ8&pp=ygUNI2FwcGxlY29sbGVjdA%3D%3D	Oct 5, 2023 ... You can redeem your Apple Gift Card directly on your device, and use it at the Apple Store and apple.com, the App Store and iTunes Store, and for any goods ...	Oct 5, 2023
Afghanistan Earthquake Live| Several Dead As Major Tremblor ...	https://www.youtube.com/watch?v=m7k0o1lBgtk	Oct 7, 2023 ... ... Afghanistan has witnessed three back to back massive earthquakes. A magnitude 6.3 earthquake hit western Afghanistan killing at least 14 people . Death toll ...	Oct 7, 2023
Afghanistan quake: Death toll from 6.3 magnitude earthquake jumps ...	https://www.youtube.com/watch?v=gOb1gYZYMHI	Oct 7, 2023 ... The death toll from a 6.2 magnitude earthquake in western Afghanistan on Saturday (Oct 7) has risen to more than 2000, according to a Taliban spokesperson ...	Oct 7, 2023
Earthquakes Rock Afghanistan as Death Toll Climbs | VOANews ...	https://www.youtube.com/watch?v=mtY9hJthH0c	Oct 8, 2023 ... More than two thousand people have died in western Afghanistan following earthquakes and aftershocks. The United Nations says hundreds of homes have been ...	Oct 8, 2023
Over 1,000 dead in Israel-Hamas war, deaths mount in Afghanistan ...	https://www.youtube.com/watch?v=Ph71qtzmkDY	Oct 8, 2023 ... ... death toll on both sides surpassed 1100 and thousands have been wounded. In Afghanistan, over 2000 people are dead after a powerful earthquake and three ...	Oct 8, 2023
News Night: Afghanistan earthquake death toll rises to 2,000 and ...	https://www.youtube.com/watch?v=T2zPcQ0L6ro	Oct 8, 2023 ... afghanistan #earthquake #deathtoll News Night: Afghanistan earthquake death toll rises to 2000 and other top stories DD News 24x7 | Breaking News & Latest ...	Oct 8, 2023
Death Toll From Afghanistan Earthquakes Rises to 2,500 ...	https://www.youtube.com/watch?v=MH5xtxjnHFs	Oct 10, 2023 ... The death toll from the magnitude 6.3 earthquake and strong aftershocks in Afghanistan has risen to at least 2500 people, with thousands more injured.	Oct 10, 2023
Afghanistan quake 2023: At least 320 dead, UN says | WION ...	https://www.youtube.com/watch?v=z1k6aAhUU8c	Oct 7, 2023 ... Over 320 people died while around 600 others were left injured by the earthquake disaster in western Afghanistan. #afghanistan #earthquake #WION About ...	Oct 7, 2023
Death toll rises after earthquake in Afghanistan | Top 10 - YouTube	https://www.youtube.com/watch?v=4wxace_D-vU	Oct 9, 2023 ... The death toll following an earthquake in Afghanistan continues to rise. And more in Top 10 Headlines.	Oct 9, 2023
Afghanistan Earthquake Deadliest In 2 Decades: Death Toll Crosses ...	https://www.youtube.com/watch?v=h8iMU4goWu8	Oct 8, 2023 ... Afghanistan Earthquake Deadliest In 2 Decades: Death Toll Crosses 2000, 12 Villages Destroyed #Afghanistan #AfghanistanEarthquake #Afghan #MiddleEast ...	Oct 8, 2023
“I lost 11 members of my family.” More than 1,000 died after an ...	https://www.youtube.com/shorts/loySHHBacfE	Oct 10, 2023 ... “I lost 11 members of my family.” More than 1,000 died after an earthquake hit Afghanistan. #BBCNews · @BBCNews. Subscribe. 848. Dislike. 117. Share.	Oct 10, 2023
Death Toll from Earthquakes in Afghanistan Rises to 2,445 - YouTube	https://www.youtube.com/watch?v=FRy-R1Z0DyE	Oct 9, 2023 ... The death toll from earthquakes in western Afghanistan's Herat and neighboring provinces has risen to 2445, Herat authorities said on Sunday night.	Oct 9, 2023
Rescue efforts continue as Afghanistan earthquake death toll ...	https://www.youtube.com/watch?v=neI3ZCEn6_Y	"Oct 9, 2023 ... 아프가니스탄 강진 사상자 4500명 넘어 ""구조에 지원 절실"" Rescue workers have been ramping up search efforts to pull bodies and survivors from the rubble ..."	Oct 9, 2023
Horrific Earthquake in Afghanistan | Many People Died | Breaking ...	https://www.youtube.com/watch?v=vnJmnQTgfnE	Oct 7, 2023 ... Horrific Earthquake in Afghanistan | Many People Died | Breaking News #Earthquake #Afghanistan #BreakingNews AFGHANISTAN | Earthquake | Earthquake in ...	Oct 7, 2023
Death toll from strong earthquakes that shook western Afghanistan ...	https://www.youtube.com/watch?v=GNr3atodxv0	Oct 7, 2023 ... Saturday's earthquakes were some of the deadliest to strike Afghanistan in decades.	Oct 7, 2023
Death Toll From Afghanistan Earthquakes Tops 2,400 | TaiwanPlus ...	https://www.youtube.com/watch?v=cU3F7RRrbAU	Oct 9, 2023 ... The death toll from Sunday's earthquakes in Afghanistan has now topped 2400. It is expected to rise as rescue workers respond.	Oct 9, 2023
Afghanistan Earthquake Leaves More Than 2000 Dead | 10 News First	https://www.youtube.com/watch?v=686KVwd6MDY	Oct 9, 2023 ... The death toll has sky-rocketed in Afghanistan from a devastating earthquake in the country's west. Over 2000 people are now confirmed dead as the search ...	Oct 9, 2023
